Ref,Experiment site,Year,Exp name,Sowing method,RANGE,ROW,REP,Variety,Nitrogen,N group,Estab (No/msq),PI DM (g/msq),PI Tillers (No/msq),PI NIR %N,PI N uptake (kg N/ha),PM DM (g/msq),Harv tillers (No/msq),HI,Quad Yield (t/ha@ 14%),Header Yield (t/ha@ 14%),Lodging (10=flat),Plant height (cm)
36,Hand,2015_16,Hand 15_16,Aerial,2,12,2,Reiziq,120-60,split,370,542,1088,2,109,2177,734,0.51,12.63,*,3,62
37,Hand,2015_16,Hand 15_16,Aerial,2,13,2,Koshi,120-0,PW_1,270,674,1579,1.38,93,2135,924,0.39,9.29,*,9,70
38,Hand,2015_16,Hand 15_16,Aerial,2,14,2,Sherpa,180-0,PW_2,266,613,1294,1.63,100,2251,790,0.51,12.86,*,1,57
39,Hand,2015_16,Hand 15_16,Aerial,2,15,2,Sherpa,120-60,split,260,690,1619,1.38,95,2338,862,0.52,13.7,*,1,60
40,Hand,2015_16,Hand 15_16,Aerial,2,16,2,Reiziq,60-60,split 2,216,587,1286,1.04,61,1973,729,0.52,11.52,*,1,55
41,Hand,2015_16,Hand 15_16,Aerial,2,17,2,Reiziq,60-120,split 3,284,510,1029,1.04,53,2006,739,0.53,12.05,*,3,55
42,Hand,2015_16,Hand 15_16,Aerial,2,18,2,Opus,180-0,PW_2,234,677,1505,1.71,116,2273,982,0.45,11.59,*,3,58
43,Hand,2015_16,Hand 15_16,Aerial,2,19,2,Koshi,0,zero,232,388,1107,1.12,43,1394,711,0.4,6.34,*,7,59
44,Hand,2015_16,Hand 15_16,Aerial,2,20,2,Opus,120-60,split,362,591,1515,1.45,86,2331,951,0.48,12.64,*,3,62
45,Hand,2015_16,Hand 15_16,Aerial,2,21,2,Sherpa,60-60,split 2,320,537,1265,1.15,62,1997,744,0.54,12.2,*,3,59
46,Hand,2015_16,Hand 15_16,Aerial,2,22,2,Koshi,60-120,split 3,276,571,1319,1.19,68,2284,840,0.38,9.77,*,9,72
47,Hand,2015_16,Hand 15_16,Aerial,2,23,2,Sherpa,120-0,PW_1,284,619,1437,1.17,72,1883,634,0.53,11.28,*,1,63
48,Hand,2015_16,Hand 15_16,Aerial,2,24,2,Reiziq,120-0,PW_1,246,665,1328,1.37,91,1930,670,0.52,11.22,*,1,57
49,Hand,2015_16,Hand 15_16,Aerial,3,1,3,Opus,60-120,split 3,230,569,1217,1.4,80,2577,1164,0.47,13.68,*,4,56
50,Hand,2015_16,Hand 15_16,Aerial,3,2,3,Reiziq,120-0,PW_1,322,666,1382,1.47,98,2284,1015,0.46,11.89,*,1,54
51,Hand,2015_16,Hand 15_16,Aerial,3,3,3,Opus,120-60,split,242,693,1524,1.49,103,2651,1183,0.43,12.97,*,6,63
52,Hand,2015_16,Hand 15_16,Aerial,3,4,3,Sherpa,120-60,split,282,598,1126,1.46,88,2554,1080,0.51,14.71,*,5,61
53,Hand,2015_16,Hand 15_16,Aerial,3,5,3,Koshi,0,zero,224,425,1238,1.37,58,1910,905,0.37,7.9,*,7,64
54,Hand,2015_16,Hand 15_16,Aerial,3,6,3,Sherpa,180-0,PW_2,266,690,1272,1.64,113,2352,973,0.49,13.12,*,1,62
55,Hand,2015_16,Hand 15_16,Aerial,3,7,3,Reiziq,60-120,split 3,182,499,1117,1.34,67,2089,777,0.53,12.41,*,1,58
56,Hand,2015_16,Hand 15_16,Aerial,3,8,3,Koshi,60-60,split 2,246,510,1290,1.2,61,2121,1140,0.39,9.42,*,9,66
57,Hand,2015_16,Hand 15_16,Aerial,3,9,3,Sherpa,60-60,split 2,234,407,927,1.16,47,2144,839,0.54,13.01,*,1,58
58,Hand,2015_16,Hand 15_16,Aerial,3,10,3,Reiziq,180-0,PW_2,344,658,1213,1.68,111,2307,896,0.47,12.19,*,1,60
59,Hand,2015_16,Hand 15_16,Aerial,3,11,3,Opus,180-0,PW_2,270,652,1503,1.79,116,2463,1259,0.45,12.37,*,1,58
60,Hand,2015_16,Hand 15_16,Aerial,3,12,3,Sherpa,120-0,PW_1,252,518,1047,1.43,74,2246,1065,0.5,12.71,*,1,55
61,Hand,2015_16,Hand 15_16,Aerial,3,13,3,Reiziq,0,zero,272,400,951,1.16,47,1600,841,0.49,8.88,*,1,50
62,Hand,2015_16,Hand 15_16,Aerial,3,14,3,Koshi,120-60,split,314,550,1831,1.39,77,2237,1063,0.35,8.81,*,9,74
63,Hand,2015_16,Hand 15_16,Aerial,3,15,3,Koshi,60-120,split 3,240,427,1255,1.23,53,1959,910,0.38,8.38,*,9,68
64,Hand,2015_16,Hand 15_16,Aerial,3,16,3,Opus,120-0,PW_1,266,481,1496,1.34,64,2253,1027,0.45,11.54,*,1,54
65,Hand,2015_16,Hand 15_16,Aerial,3,17,3,Sherpa,0,zero,298,421,1047,1.1,46,1381,710,0.52,8.04,*,1,49
66,Hand,2015_16,Hand 15_16,Aerial,3,18,3,Opus,60-60,split 2,254,506,1417,1.22,62,2222,1050,0.48,11.96,*,3,58
67,Hand,2015_16,Hand 15_16,Aerial,3,19,3,Koshi,120-0,PW_1,236,512,1255,1.49,76,1834,1014,0.38,7.89,*,5,62
68,Hand,2015_16,Hand 15_16,Aerial,3,20,3,Opus,0,zero,330,366,1021,1.14,42,1562,1080,0.46,8.07,*,1,44
69,Hand,2015_16,Hand 15_16,Aerial,3,21,3,Koshi,180-0,PW_2,208,671,1676,1.74,117,2286,1207,0.35,8.92,*,6,69
70,Hand,2015_16,Hand 15_16,Aerial,3,22,3,Reiziq,60-60,split 2,278,463,1036,1.23,57,1724,709,0.52,10.2,*,1,53
71,Hand,2015_16,Hand 15_16,Aerial,3,23,3,Sherpa,60-120,split 3,242,490,1193,1.11,54,2143,873,0.56,13.45,*,1,59
72,Hand,2015_16,Hand 15_16,Aerial,3,24,3,Reiziq,120-60,split,328,512,1244,2.14,109,2050,775,0.53,12.24,*,1,59
74,Morsehead,2015_16,Moreshead 15_16,Aerial,1,1,1,Reiziq,60-60,split 2,194,438,764,1.97,86,2073,622,0.54,12.54,*,1,52
75,Morsehead,2015_16,Moreshead 15_16,Aerial,1,2,1,YRM70,60-120,split 3,196,413,700,1.75,72,2053,654,0.56,12.97,*,1,62
76,Morsehead,2015_16,Moreshead 15_16,Aerial,1,3,1,Jarrah,0,zero,136,156,294,1.76,27,1327,343,0.54,8.05,*,1,55
77,Morsehead,2015_16,Moreshead 15_16,Aerial,1,4,1,Sherpa,0,zero,193,183,527,1.69,31,1648,434,0.58,10.86,*,1,50
78,Morsehead,2015_16,Moreshead 15_16,Aerial,1,5,1,Reiziq,180-0,PW_2,193,511,942,2.83,144,2211,669,0.43,10.65,*,2,63
