Ref,Experiment site,Year,Exp name,Sowing method,RANGE,ROW,REP,Variety,Nitrogen,N group,Estab (No/msq),PI DM (g/msq),PI Tillers (No/msq),PI NIR %N,PI N uptake (kg N/ha),PM DM (g/msq),Harv tillers (No/msq),HI,Quad Yield (t/ha@ 14%),Header Yield (t/ha@ 14%),Lodging (10=flat),Plant height (cm)
443,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,1,5,1,Reiziq,120-0,PW_2,148,779,1369,1.41,110,1951,656,0.44,9.61,*,1,72
444,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,1,6,1,Reiziq,120-60,PW_1,152,852,1123,1.29,109,2007,680,0.49,11.01,*,2,81
445,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,1,7,1,Langi,120-0,PW_2,136,866,828,1.37,119,1852,544,0.43,9.02,*,1,77
446,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,1,8,1,Opus,180-0,PW_3,158,863,1632,1.44,124,2537,907,0.41,11.65,*,7,83
447,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,1,9,1,Sherpa,0,zero,124,508,626,0.85,43,1308,637,0.43,6.29,*,1,59
448,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,1,10,1,Opus,120-60,PW_1,148,859,1463,1.27,110,2599,875,0.44,13.04,*,2,83
449,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,1,11,1,Sherpa,180-0,PW_3,174,973,1018,1.38,134,2354,795,0.45,11.93,*,1,81
450,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,1,12,1,Sherpa,120-60,PW_1,158,809,1146,1.28,104,2171,647,0.51,12.42,*,1,84
451,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,1,13,1,Sherpa,120-0,PW_2,164,805,903,1.15,93,2126,752,0.48,11.45,*,1,76
452,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,1,14,1,Topaz,120-60,PW_1,184,779,912,1.68,131,2218,717,0.43,10.72,*,1,82
453,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,1,15,1,Opus,0,zero,132,521,810,0.92,48,1366,615,0.41,6.28,*,1,63
454,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,1,16,1,Topaz,0,zero,160,431,743,1.01,44,1084,477,0.33,4.05,*,1,60
455,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,1,17,1,Reiziq,180-0,PW_3,128,911,1204,1.51,137,2049,570,0.48,11.17,*,4,79
456,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,1,18,1,Langi,0,zero,152,504,728,1.04,53,1221,497,0.37,5.15,*,1,62
457,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,1,19,1,Langi,120-60,PW_1,136,765,770,1.22,94,2049,657,0.44,10.17,*,2,82
458,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,1,20,1,Opus,120-0,PW_2,142,770,1241,1.08,83,2129,744,0.39,9.41,*,1,78
459,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,1,21,1,Topaz,120-0,PW_2,146,739,1186,1.47,109,2035,651,0.41,9.49,*,1,*
460,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,1,22,1,Doongara,0,zero,146,420,556,1.04,44,1176,360,0.4,5.31,*,1,59
461,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,1,23,1,Reiziq,0,zero,142,601,687,0.96,58,1118,415,0.3,3.76,*,1,63
462,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,1,24,1,Doongara,120-60,PW_1,120,692,653,1.51,105,1973,528,0.45,9.93,*,1,77
463,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,2,1,2,Topaz,120-60,PW_1,182,608,856,1.53,93,1977,671,0.45,10.13,*,1,76
464,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,2,2,2,Doongara,120-60,PW_1,178,680,873,1.05,71,2044,615,0.47,10.88,*,1,73
465,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,2,3,2,Sherpa,0,zero,194,523,656,0.91,47,1062,424,0.43,5.15,*,1,63
466,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,2,4,2,Langi,120-60,PW_1,142,781,1193,1.22,95,2076,714,0.44,10.34,*,1,85
467,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,2,5,2,Opus,0,zero,162,388,787,0.81,32,1296,817,0.41,6.01,*,1,57
468,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,2,6,2,Topaz,120-0,PW_2,128,686,1143,1.35,92,1590,593,0.36,9.52,*,1,71
469,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,2,7,2,Sherpa,180-0,PW_3,136,959,1074,1.48,142,2080,837,0.45,10.61,*,1,78
470,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,2,8,2,Reiziq,180-0,PW_3,166,905,971,1.37,124,2123,567,0.47,11.19,*,4,81
471,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,2,9,2,Doongara,0,zero,148,291,535,0.9,26,1100,446,0.41,5.06,*,1,56
472,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,2,10,2,Langi,120-0,PW_2,184,746,985,1.18,88,1860,647,0.43,8.98,*,1,84
473,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,2,11,2,Reiziq,0,zero,156,585,506,0.93,54,1103,380,0.44,5.41,*,1,66
474,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,2,12,2,Opus,180-0,PW_3,166,863,1352,1.44,124,2498,862,0.42,11.9,*,8,78
475,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,2,13,2,Opus,120-0,PW_2,146,714,1192,1.35,96,2155,812,0.4,9.7,*,1,77
476,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,2,14,2,Doongara,120-0,PW_2,162,713,978,1.12,80,2010,585,0.45,10.14,*,1,70
477,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,2,15,2,Langi,0,zero,148,432,623,0.86,37,1128,492,0.4,5.05,*,1,63
478,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,2,16,2,Reiziq,120-0,PW_2,164,813,1284,1.07,87,1890,622,0.45,9.52,*,2,70
479,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,2,17,2,Doongara,180-0,PW_3,192,840,821,1.32,111,2063,530,0.45,10.44,*,1,80
480,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,2,18,2,Topaz,0,zero,148,386,650,1.03,40,1048,382,0.37,4.32,*,1,59
481,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,2,19,2,Opus,120-60,PW_1,140,941,1455,1.24,117,2333,818,0.44,11.67,*,4,77
482,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,2,20,2,Topaz,180-0,PW_3,156,806,1176,1.87,151,1978,668,0.43,9.6,*,1,80
483,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,2,21,2,Sherpa,120-0,PW_2,144,748,954,1.28,96,2148,739,0.47,11.46,*,1,73
484,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,2,22,2,Reiziq,120-60,PW_1,164,865,851,1.09,94,2323,774,0.49,12.78,*,3,81
485,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,2,23,2,Sherpa,120-60,PW_1,152,714,1011,1.13,81,2188,738,0.51,12.62,*,1,81
486,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,2,24,2,Langi,180-0,PW_3,142,854,1189,1.59,136,1988,756,0.41,9.12,*,1,76
487,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,3,1,3,Opus,120-0,PW_2,196,857,1382,1.42,122,2258,1023,0.42,10.75,*,1,74
488,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,3,2,3,Topaz,0,zero,154,341,633,0.83,28,1005,505,0.43,4.86,*,1,60
489,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,3,3,3,Sherpa,120-60,PW_1,188,878,1268,1.4,123,2323,743,0.5,13.03,*,1,79
490,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,3,4,3,Doongara,0,zero,172,477,855,0.97,46,1119,674,0.44,5.49,*,1,54
491,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,3,5,3,Sherpa,120-0,PW_2,152,764,807,1.48,113,1845,607,0.46,9.6,*,1,79
492,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,3,6,3,Reiziq,0,zero,128,507,720,0.87,44,1190,444,0.42,5.59,*,1,63
493,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,3,7,3,Langi,0,zero,154,385,710,1.09,42,1141,589,0.42,5.4,*,1,61
494,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,3,8,3,Opus,120-60,PW_1,160,838,1070,1.35,113,2393,835,0.45,12.06,*,3,83
495,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,3,9,3,Reiziq,180-0,PW_3,168,903,1125,1.45,131,2232,691,0.48,12.03,*,5,84
496,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,3,10,3,Topaz,120-0,PW_2,194,743,1235,1.31,97,1989,727,0.44,9.8,*,1,73
497,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,3,11,3,Langi,180-0,PW_3,184,942,1484,1.5,141,2110,690,0.44,10.48,*,2,85
498,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,3,12,3,Topaz,180-0,PW_3,166,780,1162,1.75,137,2129,910,0.41,9.81,*,1,79
499,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,3,13,3,Doongara,120-60,PW_1,178,805,1149,1.23,99,2428,878,0.47,12.77,*,1,71
500,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,3,14,3,Reiziq,120-60,PW_1,130,751,863,1.45,109,2219,559,0.5,12.41,*,2,82
501,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,3,15,3,Doongara,180-0,PW_3,170,763,1085,1.65,126,2276,695,0.44,11.41,*,1,74
502,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,3,16,3,Langi,120-60,PW_1,156,857,1091,1.34,115,2024,715,0.47,10.77,*,1,84
503,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,3,17,3,Reiziq,120-0,PW_2,132,807,779,1.33,107,1877,653,0.47,9.89,*,2,71
504,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,3,18,3,Sherpa,0,zero,140,599,1051,0.8,48,1287,512,0.44,6.41,*,1,61
505,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,3,19,3,Topaz,120-60,PW_1,128,684,991,1.56,107,1862,638,0.44,9.23,*,1,79
506,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,3,20,3,Sherpa,180-0,PW_3,112,823,1030,1.8,148,2461,783,0.5,13.81,*,2,85
507,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,3,21,3,Opus,180-0,PW_3,164,908,1487,1.61,146,2538,851,0.41,11.78,*,2,85
508,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,3,22,3,Opus,0,zero,168,548,1214,0.84,46,1400,604,0.42,6.67,*,1,65
509,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,3,23,3,Doongara,120-0,PW_2,172,723,1173,1.3,94,2054,548,0.43,9.9,*,1,77
510,Payne_aerial,2016_17,Payne aerial 16_17,Aerial,3,24,3,Langi,120-0,PW_2,178,778,862,1.24,96,1877,600,0.43,9.09,*,1,78
512,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,1,1,1,Opus,90-0,PW_1,277,572,1347,1.57,90,1822,712,0.46,9.47,8.72,1,69
513,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,1,2,1,Illabong,90-60,split,223,484,828,1.73,84,2127,649,0.5,12,11.53,1,77
514,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,1,3,1,Reiziq,150-0,PW_2,195,665,1007,1.88,125,2245,600,0.46,11.69,10.44,1,80
515,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,1,4,1,YRM70,90-60,split,198,606,865,1.74,105,*,*,*,*,1.82,*,*
516,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,1,5,1,Sherpa,0,zero,222,285,660,1.16,33,933,281,0.41,4.27,4.31,1,64
517,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,1,6,1,Koshi,0,zero,202,219,557,1.37,30,1200,463,0.42,5.71,4.31,1,67
518,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,1,7,1,Koshi,90-0,PW_1,218,648,1003,1.69,110,2035,690,0.41,9.51,6.33,1,84
519,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,1,8,1,Opus,150-0,PW_2,278,688,1123,1.97,135,2175,841,0.47,11.46,9.25,1,77
520,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,1,9,1,Opus,0,zero,252,215,584,1.28,27,1035,442,0.44,5.09,4.3,1,60
521,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,1,10,1,Illabong,150-0,PW_2,230,554,1164,2.18,121,2073,506,0.5,11.8,11.44,1,82
522,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,1,11,1,Reiziq,90-0,PW_1,173,524,965,1.44,75,1773,584,0.43,8.67,7.27,1,74
523,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,1,12,1,Sherpa,90-0,PW_1,212,501,847,1.66,83,1863,600,0.5,10.52,9.78,1,71
524,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,1,13,1,Illabong,0,zero,192,185,448,1.3,24,1085,291,0.45,5.5,5.07,1,69
525,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,1,14,1,Koshi,90-60,split,228,545,1271,1.76,96,2088,895,0.44,10.33,7.43,1,77
526,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,1,15,1,YRM70,150-0,PW_2,208,534,792,2.12,113,1823,688,0.46,9.44,7.32,1,76
527,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,1,16,1,Reiziq,90-60,split,195,489,894,1.62,79,1917,690,0.5,10.86,8.23,1,73
528,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,1,17,1,YRM70,0,zero,160,210,356,1.2,25,*,*,*,*,0.51,*,*
529,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,1,18,1,YRM70,90-0,PW_1,183,437,859,1.98,87,*,*,*,*,1.28,*,*
530,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,1,19,1,Illabong,90-0,PW_1,202,440,951,1.64,72,1777,484,0.5,10.08,11.83,1,74
531,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,1,20,1,Koshi,150-0,PW_2,238,627,1456,2.35,147,2117,871,0.42,9.96,7.87,3,88
532,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,1,21,1,Sherpa,90-60,split,202,808,1258,1.69,137,1963,757,0.53,11.66,10.04,1,71
533,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,1,22,1,Opus,90-60,split,218,545,1289,1.67,91,2051,873,0.47,10.96,8.83,1,66
534,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,1,23,1,Reiziq,0,zero,170,310,385,1.29,40,*,*,*,*,0.78,*,*
535,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,1,24,1,Sherpa,150-0,PW_2,213,621,979,1.74,108,2310,676,0.5,12.98,11.06,1,83
536,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,2,1,2,Koshi,90-60,split,233,463,1341,1.86,86,2090,940,0.43,10.16,8.1,3,83
537,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,2,2,2,Sherpa,150-0,PW_2,210,539,1041,2.09,113,2185,605,0.48,11.92,10.43,1,82
538,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,2,3,2,Opus,0,zero,268,224,528,1.6,36,1219,538,0.45,6.19,4.52,1,60
539,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,2,4,2,Illabong,90-0,PW_1,225,494,937,1.65,82,1758,525,0.51,10.21,9.68,1,77
540,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,2,5,2,YRM70,150-0,PW_2,167,553,831,2.11,117,1793,526,0.42,8.49,6.73,2,82
541,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,2,6,2,Sherpa,90-60,split,202,520,947,1.59,83,2129,498,0.53,12.61,11.79,1,84
542,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,2,7,2,Reiziq,90-0,PW_1,187,465,672,1.42,66,1934,602,0.45,9.75,7.97,1,72
543,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,2,8,2,YRM70,0,zero,237,261,411,1.36,35,*,*,*,*,0.5,*,*
544,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,2,9,2,Opus,90-60,split,293,467,1057,1.99,93,2062,702,0.49,11.48,9.36,1,77
545,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,2,10,2,Koshi,90-0,PW_1,233,496,1074,1.7,84,1928,897,0.42,9.19,7.02,1,79
546,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,2,11,2,Reiziq,0,zero,205,279,433,1.31,37,*,*,*,*,0.97,*,*
547,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,2,12,2,Opus,150-0,PW_2,245,650,1605,2.16,141,2129,833,0.46,11.12,10.15,1,77
548,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,2,13,2,Koshi,150-0,PW_2,265,628,1021,2.02,127,2183,901,0.41,10.01,8.11,4,85
549,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,2,14,2,Illabong,90-60,split,212,*,*,*,*,2046,502,0.53,12.12,9.91,1,83
550,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,2,15,2,YRM70,90-0,PW_1,183,481,637,1.87,90,*,*,*,*,1.28,*,*
551,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,2,16,2,Sherpa,0,zero,223,183,702,1.23,23,1022,421,0.4,4.59,3.5,1,61
552,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,2,17,2,Reiziq,150-0,PW_2,175,533,781,2.54,136,2086,565,0.48,11.25,9.8,1,85
553,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,2,18,2,Reiziq,90-60,split,178,471,748,1.62,76,1894,540,0.48,10.3,8.79,1,77
554,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,2,19,2,Illabong,150-0,PW_2,197,475,790,2.36,112,2198,720,0.5,12.4,11.25,1,82
555,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,2,20,2,YRM70,90-60,split,192,413,804,1.54,64,*,*,*,*,1.44,*,*
556,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,2,21,2,Illabong,0,zero,168,221,425,1.35,30,1233,371,0.48,6.74,5.67,1,69
557,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,2,22,2,Koshi,0,zero,210,224,536,1.34,30,1258,503,0.41,5.87,4.52,1,66
558,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,2,23,2,Sherpa,90-0,PW_1,177,575,778,1.66,95,1987,685,0.5,11.16,8.93,1,74
559,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,2,24,2,Opus,90-0,PW_1,153,644,983,1.51,97,1957,606,0.45,10.03,8.21,1,68
560,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,3,1,3,Koshi,150-0,PW_2,210,494,1066,2.4,118,1982,695,0.44,9.81,8.17,3,88
561,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,3,2,3,Reiziq,90-60,split,197,492,598,1.47,72,1937,602,0.49,10.79,9.53,1,83
562,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,3,3,3,Sherpa,90-0,PW_1,210,538,877,1.58,85,1713,630,0.49,9.45,9.13,1,73
563,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,3,4,3,Opus,90-60,split,250,526,833,1.39,73,2008,847,0.5,11.28,8.62,1,69
564,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,3,5,3,Illabong,0,zero,192,203,382,1.08,22,872,292,0.49,4.77,4.87,1,66
565,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,3,6,3,Reiziq,0,zero,210,188,340,1.16,22,*,*,*,*,1.27,*,*
566,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,3,7,3,YRM70,90-0,PW_1,192,493,837,1.46,72,*,*,*,*,1.15,*,*
567,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,3,8,3,Illabong,150-0,PW_2,245,551,1028,1.77,97,2113,566,0.51,12.06,10.24,1,81
568,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,3,9,3,YRM70,0,zero,197,219,351,1.09,24,*,*,*,*,0.47,*,*
569,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,3,10,3,Sherpa,90-60,split,242,590,964,1.51,89,2079,552,0.54,12.56,10.99,1,81
570,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,3,11,3,Opus,90-0,PW_1,245,459,822,1.67,77,1787,779,0.45,9.16,7.76,1,67
571,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,3,12,3,YRM70,90-60,split,188,540,983,2.34,126,*,*,*,*,1.98,*,*
572,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,3,13,3,Sherpa,150-0,PW_2,207,513,939,1.75,90,1948,613,0.54,11.79,10.52,1,75
573,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,3,14,3,Koshi,0,zero,240,177,564,1.23,22,828,347,0.4,3.76,3.48,1,60
574,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,3,15,3,Reiziq,150-0,PW_2,210,504,609,1.85,93,1940,539,0.46,10.05,9.72,1,81
575,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,3,16,3,Illabong,90-0,PW_1,192,372,664,1.47,55,1705,412,0.5,9.64,9.18,1,83
576,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,3,17,3,Sherpa,0,zero,173,177,482,1.12,20,788,355,0.37,3.3,2.29,1,57
577,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,3,18,3,Opus,0,zero,245,196,586,1.11,22,991,324,0.42,4.71,4.13,1,72
578,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,3,19,3,Koshi,90-60,split,265,496,795,1.74,86,2054,854,0.44,10.21,7.44,3,82
579,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,3,20,3,Reiziq,90-0,PW_1,230,574,925,1.62,93,1556,778,0.39,6.82,7.82,1,56
580,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,3,21,3,Opus,150-0,PW_2,272,601,1365,2.06,124,2218,859,0.44,10.99,9.5,1,72
581,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,3,22,3,YRM70,150-0,PW_2,210,437,1105,1.85,81,1913,781,0.45,9.78,6.33,3,76
582,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,3,23,3,Illabong,90-60,split,220,470,575,1.66,78,1963,528,0.51,11.28,10.77,1,81
583,RRAPL_drill,2016_17,RRAPL drill 16_17,Drill,3,24,3,Koshi,90-0,PW_1,86,401,1127,1.9,76,2082,812,0.42,9.86,7.09,1,81
585,YAI_ late,2016_17,YAI Late 16_17,Drill,1,1,1,YRK5,60-60,split,326,516,723,1.83,95,2233,719,0.49,12.33,*,3,97
586,YAI_ late,2016_17,YAI Late 16_17,Drill,1,2,1,YRK5,120-0,PW_2,218,544,913,2.6,142,1982,703,0.41,9.24,*,10,102
587,YAI_ late,2016_17,YAI Late 16_17,Drill,1,3,1,YRM70,60-60,split,295,496,720,1.97,98,2157,682,0.53,12.91,*,2,85
588,YAI_ late,2016_17,YAI Late 16_17,Drill,1,4,1,Reiziq,0,zero,186,266,688,1.91,51,1657,476,0.52,9.65,*,1,72
589,YAI_ late,2016_17,YAI Late 16_17,Drill,1,5,1,YRM70,90-0,PW_1,283,514,1185,2.04,105,2266,585,0.52,13.39,*,2,88
590,YAI_ late,2016_17,YAI Late 16_17,Drill,1,6,1,Opus,120-0,PW_2,299,544,879,2.11,115,2315,747,0.45,11.83,*,1,78
591,YAI_ late,2016_17,YAI Late 16_17,Drill,1,7,1,YRM70,120-0,PW_2,301,470,1014,1.98,93,2211,662,0.52,12.87,*,2,87
592,YAI_ late,2016_17,YAI Late 16_17,Drill,1,8,1,Opus,0,zero,307,240,648,1.38,33,1501,490,0.48,8.07,*,1,67
593,YAI_ late,2016_17,YAI Late 16_17,Drill,1,9,1,Reiziq,60-60,split,320,436,1129,1.91,83,2198,595,0.51,12.56,*,1,81
594,YAI_ late,2016_17,YAI Late 16_17,Drill,1,10,1,Reiziq,90-0,PW_1,314,496,644,2,99,2078,603,0.51,11.92,*,1,79
595,YAI_ late,2016_17,YAI Late 16_17,Drill,1,11,1,YRK5,0,zero,262,306,793,1.48,45,1575,581,0.49,8.76,*,1,72
596,YAI_ late,2016_17,YAI Late 16_17,Drill,1,12,1,YRM70,0,zero,266,308,673,1.56,48,1450,510,0.52,8.46,*,1,76
597,YAI_ late,2016_17,YAI Late 16_17,Drill,1,13,1,Opus,90-0,PW_1,312,500,1022,1.69,84,2140,620,0.47,11.23,*,1,83
598,YAI_ late,2016_17,YAI Late 16_17,Drill,1,14,1,Opus,60-60,split,307,489,1157,1.68,82,2362,749,0.48,12.87,*,1,79
599,YAI_ late,2016_17,YAI Late 16_17,Drill,1,15,1,YRK5,90-0,PW_1,372,493,753,1.64,81,2152,678,0.49,11.83,*,3,91
600,YAI_ late,2016_17,YAI Late 16_17,Drill,1,16,1,Reiziq,120-0,PW_2,261,563,682,2.24,126,2294,602,0.5,12.94,*,1,85
601,YAI_ late,2016_17,YAI Late 16_17,Drill,2,1,2,YRK5,90-0,PW_1,297,533,1097,1.91,102,2150,661,0.47,11.39,*,2,94
602,YAI_ late,2016_17,YAI Late 16_17,Drill,2,2,2,YRM70,120-0,PW_2,255,548,1085,2.26,124,2250,574,0.49,12.4,*,2,97
603,YAI_ late,2016_17,YAI Late 16_17,Drill,2,3,2,Reiziq,90-0,PW_1,284,505,843,2,101,2165,499,0.49,11.91,*,1,84
604,YAI_ late,2016_17,YAI Late 16_17,Drill,2,4,2,YRM70,0,zero,286,361,624,1.55,56,1730,568,0.53,10.4,*,2,78
605,YAI_ late,2016_17,YAI Late 16_17,Drill,2,5,2,Opus,60-60,split,309,466,1170,1.68,78,2395,672,0.48,12.94,*,1,87
606,YAI_ late,2016_17,YAI Late 16_17,Drill,2,6,2,YRK5,120-0,PW_2,295,602,1039,2.01,121,2101,703,0.42,9.88,*,10,102
607,YAI_ late,2016_17,YAI Late 16_17,Drill,2,7,2,Reiziq,0,zero,266,358,648,1.42,51,1755,549,0.51,10.16,*,1,73
608,YAI_ late,2016_17,YAI Late 16_17,Drill,2,8,2,YRM70,60-60,split,321,455,760,1.49,68,2231,610,0.53,13.28,*,3,90
609,YAI_ late,2016_17,YAI Late 16_17,Drill,2,9,2,Opus,90-0,PW_1,355,513,1149,1.65,85,2297,668,0.46,11.97,*,1,90
610,YAI_ late,2016_17,YAI Late 16_17,Drill,2,10,2,Reiziq,120-0,PW_2,264,507,677,1.72,87,2430,601,0.49,13.37,*,1,85
611,YAI_ late,2016_17,YAI Late 16_17,Drill,2,11,2,Opus,120-0,PW_2,291,594,1027,2.19,130,2343,602,0.46,12.16,*,1,94
612,YAI_ late,2016_17,YAI Late 16_17,Drill,2,12,2,Opus,0,zero,350,337,618,1.51,51,1927,576,0.47,10.31,*,1,74
613,YAI_ late,2016_17,YAI Late 16_17,Drill,2,13,2,YRM70,90-0,PW_1,303,532,972,2.05,109,2265,600,0.52,13.35,*,2,90
